	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15
MCA_RS03645	8093	4484	8818	657	1304	2181	7288	4830	9943	9655	10799	6330	4480	13374	9715
MCA_RS03650	4562	1470	5129	202	606	970	3254	3125	4442	3632	6442	3745	2043	6807	3808
MCA_RS03655	2741	1793	4062	407	241	557	2050	2247	2684	2294	4691	3279	1763	4434	2786
MCA_RS03660	3541	2094	3661	627	981	1451	2776	2351	4160	4134	5016	2811	2325	5660	3821
MCA_RS03665	3305	1367	3598	860	2031	1636	1683	825	2234	2909	3336	1887	1605	4445	1643
MCA_RS03670	12851	3924	9967	2889	8899	7666	5980	5545	9792	10082	7973	6667	5859	15809	8060
MCA_RS03675	13972	5530	15110	1057	1122	1869	8030	5738	11344	14601	10066	8149	9666	18239	12159
MCA_RS03680	6414	3037	6374	358	1148	1312	3917	3513	6181	6474	6049	5457	3318	7908	5811
MCA_RS03685	9289	3533	9396	1169	1977	3252	7282	6227	6557	6692	13454	5082	3959	10916	6689
MCA_RS03715	7873	3522	5614	284	268	1486	6172	8185	4359	6234	12365	4762	2265	8366	5493
MCA_RS03720	11153	4593	12149	1872	2905	3197	8878	7142	10680	10509	12679	8040	5218	16527	8774
MCA_RS03725	5863	1775	4784	955	2190	1854	3192	4347	5486	4733	5602	5260	3140	7940	4991
MCA_RS03730	5243	1937	6736	1214	3900	4483	3063	2654	4908	5193	4947	4106	2564	8246	4225
MCA_RS03745	12111	5740	14021	2787	6452	9714	6503	4777	11733	9409	10291	13745	8875	18581	9393
MCA_RS03750	3575	893	2640	293	595	932	1121	1490	1717	1491	1863	1543	1703	3126	1684
MCA_RS03755	3487	1239	3251	632	570	419	3212	2371	2806	3435	3912	2219	2257	5438	3129
MCA_RS03760	4838	1518	3572	703	507	2195	3425	2814	3639	3515	6107	2563	2527	5033	4403
MCA_RS03765	6541	2489	5425	724	776	1807	4327	2860	4293	5145	4621	3444	2820	7364	4130
MCA_RS03770	1118	474	968	237	784	453	705	791	1193	991	625	751	1023	2017	1285
MCA_RS03775	865	170	1040	243	406	531	394	436	400	1217	1270	1043	805	1523	446
MCA_RS03780	4672	930	4363	564	1485	1150	2556	2401	4867	2833	4274	2007	2075	5373	3438
MCA_RS03785	2934	2149	2136	304	535	421	2698	2045	3597	1523	3577	2489	1423	5096	2727
MCA_RS03790	2059	881	1409	331	1555	670	1401	824	1683	1399	1325	1542	923	2753	2443
MCA_RS03795	4067	1519	3219	1331	2719	3095	1438	1766	3684	2808	2784	4128	2569	5028	4167
MCA_RS03800	8076	3778	8405	2719	8803	7088	6261	3928	8442	7190	6848	8852	5274	14092	7593
MCA_RS03805	3865	1188	5216	1484	2989	2361	1902	1537	4322	3265	3336	1913	2280	6829	2914
MCA_RS03810	2986	1452	4523	881	1351	1817	1147	2030	4093	4052	4142	3922	2093	7288	3270
MCA_RS03815	2013	972	1096	399	714	1255	1032	874	1775	2138	1981	1986	939	4046	2327
MCA_RS03820	2004	515	1109	143	97	218	1916	893	2463	1485	3989	3833	897	11168	6960
MCA_RS03825	19683	9440	21992	4649	11303	15519	13033	11100	17217	15985	18517	19891	13434	31119	19431
MCA_RS03830	9406	3077	10616	2547	7648	4232	6048	4633	8050	7428	15211	11157	5075	14518	6831
MCA_RS03835	16996	6729	19880	2145	6856	7340	12846	10561	18323	14929	17819	13880	7194	23720	13523
