	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15
MCA_RS09170	5.343503594	2.819893666	3.366506563	5.673735646	4.592350798	3.710697342	5.009188268	-3.624563463	5.433338711	5.180442282	4.179184087	3.906679201	4.872155301	5.057946523	4.682242185
MCA_RS09175	4.454182247	3.095285702	4.703822355	4.936971323	4.954758885	5.165013993	2.310834617	1.725497038	4.090431939	4.039182085	3.964731418	3.234687616	5.287546422	4.159219776	2.334732358
MCA_RS09180	6.864877579	6.26697164	6.903148408	7.397497857	7.196490699	7.492693935	6.462682437	6.278300909	6.853475953	6.6466007	6.686651105	6.635579365	7.019568377	6.539713633	6.200169199
MCA_RS09185	3.351115566	4.271521123	5.085939972	5.229998942	5.751761747	4.624024857	4.845171218	2.841259745	2.737362182	4.731890406	4.094097357	2.435222895	5.244322654	4.849708412	3.169902582
MCA_RS09190	6.439815233	5.945770858	6.049952353	4.534205604	5.223030487	6.28070335	6.270434124	6.062746194	6.496559741	6.02570003	6.629993328	6.170313127	6.011903795	6.416437781	6.094429416
MCA_RS09195	7.112943031	6.514366368	7.045853183	7.21267501	7.695084283	7.519314357	6.971694112	7.427491578	6.88301726	6.878421314	7.112158043	6.795864075	7.487717445	7.222362661	7.032067449
MCA_RS09200	5.470141177	6.198604374	5.571635412	5.98080474	6.9503209	6.795147101	5.719815121	5.990080359	6.405086853	6.540958294	5.851895728	5.958213141	6.34471959	6.062410299	6.088686819
MCA_RS09205	9.086204553	9.204310254	9.03711343	8.788869213	8.718117183	8.831275506	8.248189333	8.511324378	9.075258865	8.765379738	8.566500819	9.410647167	9.249256549	8.941627604	9.566613451
MCA_RS09210	5.851031931	6.802361133	6.501643251	5.958114062	6.304282775	6.311492726	6.076346354	6.240330417	5.400557783	5.143322441	6.528254328	6.6313082	5.546696899	5.802206028	5.887926999
MCA_RS09215	7.184068145	7.322846596	7.273537027	5.874032001	6.749752719	7.635896508	7.063565371	7.614670632	7.299395564	7.521648383	7.025602972	7.23465206	7.52775285	7.030594546	7.51258967
MCA_RS09220	7.890198479	7.891188147	7.981534499	7.981827409	7.668951093	7.482933088	7.872800252	7.750152566	8.030654668	7.816289744	8.031393515	7.620518955	7.912377929	7.894647913	7.894460959
MCA_RS09225	7.320959832	7.275230639	7.369535022	6.619869523	5.440023701	6.916828851	7.443751552	7.366855014	7.175115207	7.277992286	7.837345265	6.990999183	6.932772139	6.997353619	7.303265107
MCA_RS09230	6.208087014	6.611783922	6.612752835	4.848088749	4.967521185	5.822238013	6.571678705	6.630865006	6.438919726	6.356056227	6.833616971	6.090109416	6.259415852	6.450716252	6.652926157
MCA_RS09235	6.733410151	6.68856996	6.524929938	7.191987412	7.271738276	6.472355189	6.940243938	6.40334922	6.535364207	7.137066534	6.654236007	6.724978691	6.768143188	6.669962293	6.476320836
MCA_RS09240	9.386384792	9.468128626	9.563716984	9.840387522	10.73217699	10.1762007	9.556559998	9.00877799	9.454946831	9.32129609	9.085341409	9.450360316	9.414351294	9.561066771	9.083268283
